nazwa,nr_katalogowy,producent,kategoria,opakowanie,cena,atrybuty_dodatkowe
Probowki Eppendorf 1.5ml,CH-10160,ChemTech Supply,Laboratory Plasticware,5 -,3405 PLN,temp. pokojowa
Probowki wirowkowe 50ml,NO-10189,NovaGen Labs,,50 kg,1151 PLN,temp. pokojowa
Czytnik plytek ELISA,CH-10248,ChemTech Supply,Measuring Equipment,10 g,3040 zl,termin waznosci 12 mies. od daty produkcji
SDS 10% roztwor,ME-10338,MedioScience,Chemia laboratoryjna,100 kg,"1118,00",wymaga suchego lodu przy transporcie
Master Mix do RT-PCR,NO-10091,NovaGen Labs,Odczynniki PCR,50 rxn,1783 zl,wymaga suchego lodu przy transporcie
Spektrofotometr NanoDrop,BI-10229,BioPrime,,25 l,"1419,00",przechowywanie -20C
Odczynnik SYBR Green,NO-10120,NovaGen Labs,,50szt,1770 zl,termin waznosci 12 mies. od daty produkcji
Koncowki do pipet 1000ul,NO-10194,NovaGen Labs,,50 ml,580 PLN,temp. pokojowa
Master Mix do RT-PCR,PO-10093,PolyLab Systems,PCR - odczynniki,50-pack,3399 PLN,termin waznosci 12 mies. od daty produkcji
Izopropanol cz.d.a.,BI-10318,BioPrime,Chemia laboratoryjna,25 kg,3260,temp. pokojowa
Koncowki filtrowe 10ul,PO-10171,PolyLab Systems,Plastik laboratoryjny,25 ml,324 zl,wymaga suchego lodu przy transporcie
Kolumny do izolacji plazmidowego DNA,NO-10024,NovaGen Labs,,50 reactions,4131 zl,termin waznosci 12 mies. od daty produkcji
Etanol absolutny cz.d.a.,PO-10288,PolyLab Systems,Chemia laboratoryjna,50 ml,815 zl,
Kit do izolacji DNA z gleby,BI-10054,BioPrime,,50-pack,229 PLN,temp. pokojowa
Kit do izolacji RNA z krwi,BI-10010,BioPrime,,x50,"3936,00",termin waznosci 12 mies. od daty produkcji
Koncowki do pipet 200ul,ME-10152,MedioScience,Sprzet jednorazowy,50 op,2052,termin waznosci 12 mies. od daty produkcji
Zestaw do oczyszczania RNA z komorek,PO-10035,PolyLab Systems,Izolacja DNA,x50,767,
Zestaw do izolacji RNA wirusowego,ME-10063,MedioScience,,50 test.,2683,temp. pokojowa
Zestaw do izolacji DNA genomowego,CH-10021,ChemTech Supply,Izolacja kwasow nukleinowych,50 reactions,2554,wymaga suchego lodu przy transporcie
dNTP Mix 10mM,PO-10108,PolyLab Systems,PCR reagents,50 szt.,265 PLN,
Kit do izolacji RNA z krwi,NO-10009,NovaGen Labs,Nucleic Acid Isolation,50,1482 zl,termin waznosci 12 mies. od daty produkcji
Czytnik plytek ELISA,ME-10252,MedioScience,Aparatura pomiarowa,100 ml,3075 PLN,
Mix do PCR 2x,CH-10068,ChemTech Supply,Odczynniki do PCR,x50,844 PLN,
Probowki Eppendorf 1.5ml,CH-10160,ChemTech Supply,Laboratory Plasticware,5 -,3405 PLN,temp. pokojowa
Zestaw do izolacji RNA wirusowego,PO-10062,PolyLab Systems,Nucleic Acid Isolation,50 rxn,"4409,00","przechowywanie 4C, chronic przed swiatlem"
Agaroza do elektroforezy,NO-10341,NovaGen Labs,Chemia laboratoryjna,100 ml,3160 zl,"przechowywanie 4C, chronic przed swiatlem"
Koncowki filtrowe 10ul,ME-10172,MedioScience,Plastik laboratoryjny,50 l,1919 PLN,
Termostat blokowy,CH-10267,ChemTech Supply,Pomiary,1 l,3116,
Probowki Eppendorf 1.5ml,ME-10165,MedioScience,,50 l,667 PLN,wymaga suchego lodu przy transporcie
Probowki wirowkowe 50ml,PO-10192,PolyLab Systems,Plastiki lab.,10 ml,1323 zl,termin waznosci 12 mies. od daty produkcji
Startery losowe do RT,NO-10110,NovaGen Labs,PCR - odczynniki,50,1084 PLN,
pH-metr stolowy,ME-10262,MedioScience,,1 op,"3677,00",temp. pokojowa
pH-metr stolowy,NO-10253,NovaGen Labs,Measuring Equipment,1 kg,1584 zl,wymaga suchego lodu przy transporcie
Startery losowe do RT,CH-10114,ChemTech Supply,PCR reagents,50-pack,"2585,00",
Zestaw do izolacji RNA wirusowego,BI-10060,BioPrime,Nucleic Acid Isolation,50 test.,4323 PLN,
Zestaw do izolacji mikroRNA,NO-10048,NovaGen Labs,Izolacja DNA,50 test.,744 PLN,
Zestaw do izolacji mikroRNA,PO-10051,PolyLab Systems,Nucleic Acid Isolation,50 szt.,2312,temp. pokojowa
Plytki PCR 96-dolkowe,PO-10178,PolyLab Systems,Plastiki lab.,25 op,3440,termin waznosci 12 mies. od daty produkcji
Polimeraza Taq,ME-10080,MedioScience,PCR reagents,50 reactions,3966,przechowywanie -20C
Plytki PCR 96-dolkowe,CH-10175,ChemTech Supply,Sprzet jednorazowy,25 -,4354 zl,
Agaroza do elektroforezy,ME-10349,MedioScience,Odczynniki chemiczne,50 g,2674 PLN,termin waznosci 12 mies. od daty produkcji
Czytnik plytek ELISA,BI-10247,BioPrime,Pomiary,100 -,3894 PLN,termin waznosci 12 mies. od daty produkcji
Kit do izolacji DNA z gleby,CH-10055,ChemTech Supply,Izolacja DNA,x50,"3137,00",wymaga suchego lodu przy transporcie
Mix do PCR 2x,PO-10069,PolyLab Systems,PCR reagents,x50,350 PLN,"przechowywanie 4C, chronic przed swiatlem"
Zestaw do izolacji mikroRNA,ME-10052,MedioScience,Izolacja kwasow nukleinowych,50-pack,511 zl,termin waznosci 12 mies. od daty produkcji
Zestaw do multiplex PCR,CH-10130,ChemTech Supply,,50,572 zl,temp. pokojowa
Plytki PCR 96-dolkowe,NO-10173,NovaGen Labs,Laboratory Plasticware,50 kg,1579 PLN,temp. pokojowa
Kit izolacji DNA z probek FFPE,BI-10042,BioPrime,Izolacja DNA,x50,1705 PLN,termin waznosci 12 mies. od daty produkcji
Woda wolna od nukleaz,ME-10315,MedioScience,Odczynniki,50 g,"3915,00",termin waznosci 12 mies. od daty produkcji
Chloroform cz.d.a.,ME-10297,MedioScience,Odczynniki,50 g,2122 PLN,temp. pokojowa
Woda wolna od nukleaz,PO-10314,PolyLab Systems,Odczynniki,100 l,4260 zl,
SDS 10% roztwor,BI-10334,BioPrime,Chemia laboratoryjna,100 l,2911 zl,
Kit do izolacji RNA z krwi,PO-10014,PolyLab Systems,Nucleic Acid Isolation,50szt,"3908,00",wymaga suchego lodu przy transporcie
Zestaw do oczyszczania RNA z komorek,ME-10038,MedioScience,Izolacja kwasow nukleinowych,50 reactions,4128,wymaga suchego lodu przy transporcie
SDS 10% roztwor,NO-10332,NovaGen Labs,,25 l,4280 PLN,temp. pokojowa
Woda wolna od nukleaz,NO-10309,NovaGen Labs,Chemia laboratoryjna,50 kg,2605,przechowywanie -20C
Probowki PCR 0.2ml,PO-10140,PolyLab Systems,Plastik laboratoryjny,10 op,1396,przechowywanie -20C
Plytki PCR 96-dolkowe,ME-10180,MedioScience,Plastik laboratoryjny,1 kg,"1183,00","przechowywanie 4C, chronic przed swiatlem"
Koncowki do pipet 1000ul,PO-10198,PolyLab Systems,,10 kg,4224,wymaga suchego lodu przy transporcie
Kit do izolacji DNA z gleby,ME-10057,MedioScience,Izolacja DNA,50szt,2335 PLN,"przechowywanie 4C, chronic przed swiatlem"
Bufor TE 1x,CH-10304,ChemTech Supply,Chemia laboratoryjna,50 op,"942,00",temp. pokojowa
Pipeta automatyczna 100-1000ul,BI-10213,BioPrime,,10 -,709,"przechowywanie 4C, chronic przed swiatlem"
SDS 10% roztwor,CH-10336,ChemTech Supply,Odczynniki,50 kg,,"przechowywanie 4C, chronic przed swiatlem"
dNTP Mix 10mM,BI-10106,BioPrime,PCR - odczynniki,50 szt.,2038 PLN,termin waznosci 12 mies. od daty produkcji
Probowki Eppendorf 1.5ml,PO-10162,PolyLab Systems,Plastiki lab.,100 op,3271 zl,"przechowywanie 4C, chronic przed swiatlem"
Probowki wirowkowe 15ml,CH-10184,ChemTech Supply,Sprzet jednorazowy,25 op,"3646,00",temp. pokojowa
Koncowki do pipet 1000ul,BI-10196,BioPrime,Sprzet jednorazowy,50 g,3542 PLN,temp. pokojowa
dNTP Mix 10mM,ME-10109,MedioScience,Odczynniki do PCR,50 reactions,4071,temp. pokojowa
Bufor PBS 1x,ME-10356,MedioScience,Odczynniki chemiczne,100 g,278 PLN,
Pipeta automatyczna 100-1000ul,NO-10210,NovaGen Labs,,5 -,3950,termin waznosci 12 mies. od daty produkcji
Zestaw do izolacji DNA z tkanek,CH-10003,ChemTech Supply,Izolacja DNA,50 test.,2426 PLN,przechowywanie -20C
pH-metr stolowy,PO-10259,PolyLab Systems,Pomiary,25 op,1680,termin waznosci 12 mies. od daty produkcji
Wirowka laboratoryjna,BI-10240,BioPrime,,1 op,1171 zl,temp. pokojowa
Bufor TE 1x,BI-10301,BioPrime,Odczynniki chemiczne,50 szt,752,
Etanol absolutny cz.d.a.,CH-10285,ChemTech Supply,Chemia laboratoryjna,5 op,,wymaga suchego lodu przy transporcie
Bufor TBE 10x,BI-10326,BioPrime,Odczynniki chemiczne,50 l,"4061,00",temp. pokojowa
Plytki PCR 96-dolkowe,CH-10175,ChemTech Supply,Sprzet jednorazowy,25 -,4354 zl,
Odczynnik SYBR Green,PO-10125,PolyLab Systems,PCR - odczynniki,50 rxn,898 PLN,wymaga suchego lodu przy transporcie
Kit do izolacji RNA z krwi,CH-10011,ChemTech Supply,Nucleic Acid Isolation,50 rxn,"2734,00",przechowywanie -20C
Vortex laboratoryjny,ME-10280,MedioScience,Pomiary,25 -,757,"przechowywanie 4C, chronic przed swiatlem"
Wirowka laboratoryjna,NO-10239,NovaGen Labs,,50 g,1477 PLN,termin waznosci 12 mies. od daty produkcji
Bufor PCR 10x,PO-10102,PolyLab Systems,PCR - odczynniki,50 test.,2413 zl,przechowywanie -20C
Kit izolacji DNA z probek FFPE,ME-10047,MedioScience,Nucleic Acid Isolation,50 szt.,2325,wymaga suchego lodu przy transporcie
Zestaw do izolacji DNA z tkanek,BI-10002,BioPrime,izolacja DNA/RNA,50 rxn,"1955,00",przechowywanie -20C
Termocykler PCR,NO-10202,NovaGen Labs,Aparatura pomiarowa,50 g,1093,przechowywanie -20C
Pipeta automatyczna 100-1000ul,PO-10215,PolyLab Systems,Sprzet pomiarowy,100 -,889 PLN,"przechowywanie 4C, chronic przed swiatlem"
Termocykler PCR,CH-10205,ChemTech Supply,Pomiary,100 kg,2143,
Zestaw do izolacji mikroRNA,BI-10049,BioPrime,izolacja DNA/RNA,50 test.,2151 zl,"przechowywanie 4C, chronic przed swiatlem"
Termostat blokowy,BI-10264,BioPrime,,25 kg,764 zl,przechowywanie -20C
Koncowki filtrowe 10ul,CH-10170,ChemTech Supply,Laboratory Plasticware,25 g,"963,00",przechowywanie -20C
Kolumny do izolacji plazmidowego DNA,ME-10030,MedioScience,,50szt,208 PLN,przechowywanie -20C
Termostat blokowy,PO-10268,PolyLab Systems,,10 kg,"1277,00","przechowywanie 4C, chronic przed swiatlem"
Zestaw do izolacji DNA z tkanek,NO-10001,NovaGen Labs,Nucleic Acid Isolation,50szt,862,przechowywanie -20C
Spektrofotometr NanoDrop,ME-10237,MedioScience,Measuring Equipment,50 l,3163,"przechowywanie 4C, chronic przed swiatlem"
Zestaw do izolacji DNA genomowego,PO-10022,PolyLab Systems,,x50,1021 zl,
Zestaw do oczyszczania RNA z komorek,BI-10033,BioPrime,izolacja DNA/RNA,50 reactions,3619,"przechowywanie 4C, chronic przed swiatlem"
Kit do izolacji RNA z krwi,PO-10014,PolyLab Systems,Nucleic Acid Isolation,50szt,"3908,00",wymaga suchego lodu przy transporcie
Kolumny do izolacji plazmidowego DNA,BI-10027,BioPrime,izolacja DNA/RNA,50 szt.,"1885,00","przechowywanie 4C, chronic przed swiatlem"
Polimeraza Taq,NO-10073,NovaGen Labs,PCR reagents,50,2191 zl,"przechowywanie 4C, chronic przed swiatlem"
Waga analityczna,BI-10220,BioPrime,Aparatura pomiarowa,10 kg,"2921,00",przechowywanie -20C
Kit do izolacji DNA z gleby,PO-10056,PolyLab Systems,Nucleic Acid Isolation,50-pack,1600,przechowywanie -20C
Chloroform cz.d.a.,NO-10290,NovaGen Labs,Chemicals,25 g,3954 zl,temp. pokojowa
Probowki PCR 0.2ml,ME-10143,MedioScience,Plastiki lab.,1 -,3756 PLN,termin waznosci 12 mies. od daty produkcji
Mix do PCR 2x,BI-10065,BioPrime,PCR - odczynniki,50 szt.,3959,"przechowywanie 4C, chronic przed swiatlem"
Probowki wirowkowe 15ml,ME-10186,MedioScience,Plastik laboratoryjny,1 -,"3687,00",wymaga suchego lodu przy transporcie
Waga analityczna,CH-10223,ChemTech Supply,Pomiary,10 kg,"817,00",temp. pokojowa
Koncowki do pipet 1000ul,CH-10197,ChemTech Supply,,25 szt,2676 PLN,przechowywanie -20C
Zestaw do qPCR z sonda TaqMan,PO-10088,PolyLab Systems,PCR reagents,50 rxn,1883,temp. pokojowa
Probowki PCR 0.2ml,NO-10135,NovaGen Labs,Laboratory Plasticware,25 szt,3292 zl,przechowywanie -20C
Waga analityczna,ME-10225,MedioScience,Measuring Equipment,50 op,2686 zl,termin waznosci 12 mies. od daty produkcji
Vortex laboratoryjny,PO-10277,PolyLab Systems,Aparatura pomiarowa,25 -,2683,termin waznosci 12 mies. od daty produkcji
Woda wolna od nukleaz,CH-10313,ChemTech Supply,,25 l,2134 PLN,"przechowywanie 4C, chronic przed swiatlem"
Woda wolna od nukleaz,BI-10310,BioPrime,Odczynniki,50 kg,368 PLN,
Master Mix do RT-PCR,BI-10092,BioPrime,,50szt,3959 PLN,wymaga suchego lodu przy transporcie
Master Mix do RT-PCR,PO-10093A,PolyLab Systems,PCR - odczynniki,50-pack,3399 PLN,termin waznosci 12 mies. od daty produkcji
Polimeraza Taq,PO-10079,PolyLab Systems,PCR reagents,50 szt.,2769 zl,wymaga suchego lodu przy transporcie
Zestaw do izolacji RNA wirusowego,CH-10061,ChemTech Supply,Izolacja kwasow nukleinowych,50 reactions,3709 PLN,"przechowywanie 4C, chronic przed swiatlem"
Startery losowe do RT,ME-10118,MedioScience,Odczynniki PCR,50-pack,3999 zl,temp. pokojowa
Koncowki filtrowe 10ul,BI-10169,BioPrime,Sprzet jednorazowy,50 op,,temp. pokojowa
Wirowka laboratoryjna,CH-10243,ChemTech Supply,Measuring Equipment,25 ml,368,przechowywanie -20C
Wirowka laboratoryjna,PO-10244,PolyLab Systems,Measuring Equipment,25 ml,3221 PLN,termin waznosci 12 mies. od daty produkcji
Bufor TE 1x,NO-10299,NovaGen Labs,Chemia laboratoryjna,50 ml,"1247,00","przechowywanie 4C, chronic przed swiatlem"
Bufor PBS 1x,CH-10352,ChemTech Supply,Chemicals,50 g,4482 PLN,temp. pokojowa
Zestaw do izolacji DNA z tkanek,ME-10007,MedioScience,Nucleic Acid Isolation,50szt,719 PLN,wymaga suchego lodu przy transporcie
Zestaw do izolacji RNA wirusowego,NO-10059,NovaGen Labs,Nucleic Acid Isolation,50 szt.,1732,temp. pokojowa
Zestaw do qPCR z sonda TaqMan,ME-10090,MedioScience,PCR - odczynniki,50-pack,2216 PLN,temp. pokojowa
Spektrofotometr NanoDrop,PO-10235,PolyLab Systems,Measuring Equipment,100 g,2095,
Zestaw do izolacji DNA genomowego,CH-10021,ChemTech Supply,Izolacja kwasow nukleinowych,50 reactions,2554,wymaga suchego lodu przy transporcie
Koncowki filtrowe 10ul,NO-10166,NovaGen Labs,Plastiki lab.,25 ml,3333,temp. pokojowa
Odczynnik SYBR Green,ME-10127,MedioScience,PCR - odczynniki,x50,"897,00","przechowywanie 4C, chronic przed swiatlem"
Bufor PCR 10x,BI-10099,BioPrime,,50,3718 zl,przechowywanie -20C
Bufor TE 1x,PO-10305,PolyLab Systems,Chemicals,5 szt,4320 PLN,przechowywanie -20C
Zestaw do multiplex PCR,NO-10128,NovaGen Labs,PCR reagents,50 test.,3522 PLN,
Probowki wirowkowe 50ml,CH-10191,ChemTech Supply,Plastik laboratoryjny,10 szt,2002 PLN,wymaga suchego lodu przy transporcie
Kit izolacji DNA z probek FFPE,CH-10043,ChemTech Supply,,50,4269 PLN,wymaga suchego lodu przy transporcie
Chloroform cz.d.a.,BI-10291,BioPrime,Chemia laboratoryjna,25 l,4368 zl,"przechowywanie 4C, chronic przed swiatlem"
Koncowki do pipet 1000ul,ME-10201,MedioScience,Laboratory Plasticware,50 szt,496,przechowywanie -20C
Termocykler PCR,ME-10209,MedioScience,,5 -,3012 PLN,wymaga suchego lodu przy transporcie
Koncowki do pipet 200ul,BI-10146,BioPrime,Plastiki lab.,100 op,"710,00",wymaga suchego lodu przy transporcie
dNTP Mix 10mM,NO-10105,NovaGen Labs,PCR - odczynniki,50 test.,"2966,00",temp. pokojowa
Odczynnik SYBR Green,CH-10122,ChemTech Supply,Odczynniki do PCR,50 szt.,4249 PLN,"przechowywanie 4C, chronic przed swiatlem"
Koncowki do pipet 200ul,NO-10144,NovaGen Labs,Plastik laboratoryjny,25 -,"3406,00",termin waznosci 12 mies. od daty produkcji
Vortex laboratoryjny,NO-10271,NovaGen Labs,Measuring Equipment,50 kg,4173 PLN,"przechowywanie 4C, chronic przed swiatlem"
Pipeta automatyczna 100-1000ul,ME-10218,MedioScience,Measuring Equipment,10 szt,656,przechowywanie -20C
Probowki wirowkowe 50ml,BI-10190,BioPrime,Plastik laboratoryjny,50 szt,1892 PLN,temp. pokojowa
Plytki 96-dolkowe,CH-10155,ChemTech Supply,,5 g,"2093,00",
Startery losowe do RT,BI-10111,BioPrime,PCR reagents,x50,1120,
Zestaw do multiplex PCR,BI-10129,BioPrime,PCR - odczynniki,50 reactions,3934,przechowywanie -20C
Spektrofotometr NanoDrop,NO-10228,NovaGen Labs,Sprzet pomiarowy,100 op,"3114,00",temp. pokojowa
Bufor PCR 10x,NO-10098,NovaGen Labs,Odczynniki PCR,50-pack,3916 zl,termin waznosci 12 mies. od daty produkcji
Probowki Eppendorf 1.5ml,BI-10159,BioPrime,,50 kg,"4097,00",przechowywanie -20C
Waga analityczna,BI-10220-1,BioPrime,Aparatura pomiarowa,10 kg,"2921,00",przechowywanie -20C
Chloroform cz.d.a.,ME-10297,MedioScience,Odczynniki,50 g,2122 PLN,temp. pokojowa
Bufor PBS 1x,NO-10350,NovaGen Labs,Odczynniki chemiczne,25 kg,672 PLN,temp. pokojowa
Chloroform cz.d.a.,CH-10293,ChemTech Supply,Chemicals,5 ml,,wymaga suchego lodu przy transporcie
Bufor PCR 10x,BI-10099,BioPrime,,50,3718 zl,przechowywanie -20C
Bufor TBE 10x,ME-10329,MedioScience,Chemicals,100 -,2521 PLN,temp. pokojowa
Zestaw do izolacji mikroRNA,CH-10050,ChemTech Supply,,50 rxn,2602 PLN,przechowywanie -20C
Woda wolna od nukleaz,PO-10314,PolyLab Systems,Odczynniki,100 l,4260 zl,
Agaroza do elektroforezy,CH-10345,ChemTech Supply,,1 ml,"1377,00",
Zestaw do qPCR z sonda TaqMan,CH-10086,ChemTech Supply,PCR reagents,50,1195 PLN,termin waznosci 12 mies. od daty produkcji
Zestaw do izolacji DNA z tkanek,PO-10004,PolyLab Systems,Nucleic Acid Isolation,50 szt.,505 PLN,
Odczynnik SYBR Green,BI-10121,BioPrime,PCR reagents,50 reactions,2514,przechowywanie -20C
Zestaw do multiplex PCR,ME-10133,MedioScience,Odczynniki do PCR,50 reactions,"2540,00","przechowywanie 4C, chronic przed swiatlem"
Zestaw do qPCR z sonda TaqMan,BI-10084,BioPrime,,50szt,3720,przechowywanie -20C
Probowki wirowkowe 50ml,ME-10193,MedioScience,Plastik laboratoryjny,100 szt,"3589,00",wymaga suchego lodu przy transporcie
Zestaw do qPCR z sonda TaqMan,PO-10088,PolyLab Systems,PCR reagents,50 rxn,1883,temp. pokojowa
Spektrofotometr NanoDrop,CH-10232,ChemTech Supply,,1 op,1223 zl,wymaga suchego lodu przy transporcie
Etanol absolutny cz.d.a.,NO-10281,NovaGen Labs,Chemicals,50 op,1640 PLN,
Etanol absolutny cz.d.a.,BI-10282-1,BioPrime,Chemicals,5 kg,1997 PLN,temp. pokojowa
Wirowka laboratoryjna,ME-10245,MedioScience,Measuring Equipment,1 kg,4020 PLN,przechowywanie -20C
Izopropanol cz.d.a.,ME-10322,MedioScience,Chemia laboratoryjna,50 op,1274 zl,przechowywanie -20C
Agaroza do elektroforezy,BI-10344,BioPrime,Chemia laboratoryjna,25 op,820,
Plytki PCR 96-dolkowe,ME-10180,MedioScience,Plastik laboratoryjny,1 kg,"1183,00","przechowywanie 4C, chronic przed swiatlem"
Zestaw do oczyszczania RNA z komorek,NO-10031,NovaGen Labs,,50szt,1233,wymaga suchego lodu przy transporcie
Zestaw do izolacji DNA genomowego,NO-10018,NovaGen Labs,Izolacja kwasow nukleinowych,x50,3302,
Bufor PBS 1x,BI-10351,BioPrime,Odczynniki,10 g,3242 zl,termin waznosci 12 mies. od daty produkcji
Czytnik plytek ELISA,PO-10251,PolyLab Systems,Aparatura pomiarowa,1 szt,3348,przechowywanie -20C
Etanol absolutny cz.d.a.,BI-10282,BioPrime,Chemicals,5 kg,1997 PLN,temp. pokojowa
Plytki 96-dolkowe,NO-10153,NovaGen Labs,Plastik laboratoryjny,25 kg,"3768,00",termin waznosci 12 mies. od daty produkcji
dNTP Mix 10mM,CH-10107,ChemTech Supply,PCR reagents,50szt,4116 PLN,wymaga suchego lodu przy transporcie
Zestaw do izolacji DNA genomowego,ME-10023,MedioScience,,50 rxn,"309,00",temp. pokojowa
Polimeraza Taq,BI-10076,BioPrime,,50 test.,4285 zl,termin waznosci 12 mies. od daty produkcji
Bufor PBS 1x,PO-10355,PolyLab Systems,Odczynniki,50 g,2177 zl,temp. pokojowa
Bufor TE 1x,ME-10306,MedioScience,Odczynniki,50 g,"1295,00",wymaga suchego lodu przy transporcie
Waga analityczna,NO-10219,NovaGen Labs,Sprzet pomiarowy,50 op,3736,
Kit izolacji DNA z probek FFPE,NO-10039,NovaGen Labs,izolacja DNA/RNA,50-pack,"2322,00","przechowywanie 4C, chronic przed swiatlem"
Koncowki do pipet 200ul,PO-10149,PolyLab Systems,Plastiki lab.,10 kg,1342 zl,wymaga suchego lodu przy transporcie
Czytnik plytek ELISA,CH-10248A,ChemTech Supply,Measuring Equipment,10 g,3040 zl,termin waznosci 12 mies. od daty produkcji
Probowki wirowkowe 15ml,BI-10182,BioPrime,,50 g,3673,wymaga suchego lodu przy transporcie
Zestaw do oczyszczania RNA z komorek,CH-10034,ChemTech Supply,Izolacja kwasow nukleinowych,50 rxn,2929 zl,wymaga suchego lodu przy transporcie
Termostat blokowy,ME-10269,MedioScience,Measuring Equipment,1 ml,1674 PLN,temp. pokojowa
Zestaw do multiplex PCR,PO-10132,PolyLab Systems,Odczynniki PCR,50 rxn,262,przechowywanie -20C
Zestaw do qPCR z sonda TaqMan,NO-10082,NovaGen Labs,Odczynniki do PCR,50 rxn,"198,00","przechowywanie 4C, chronic przed swiatlem"
Bufor PCR 10x,ME-10104,MedioScience,Odczynniki do PCR,50szt,4050 PLN,temp. pokojowa
