sku,name,manufacturer,category,package_raw,price,attributes,package_quantity,package_unit,currency,description,specs
ME-10133,Zestaw do multiplex PCR,MedioScience,PCR reagents,50 reactions,2540.00,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
ME-10143,Probowki PCR 0.2ml,MedioScience,Laboratory Plasticware,1 -,3756,termin waznosci 12 mies. od daty produkcji,1.0,,PLN,,[]
ME-10152,Koncowki do pipet 200ul,MedioScience,Disposable Equipment,50 op,2052,termin waznosci 12 mies. od daty produkcji,50.0,package,PLN,,[]
ME-10157,Plytki 96-dolkowe,MedioScience,Laboratory Plasticware,100 l,945.00,"przechowywanie 4C, chronic przed swiatlem",100.0,l,PLN,,[]
ME-10165,Probowki Eppendorf 1.5ml,MedioScience,,50 l,667,wymaga suchego lodu przy transporcie,50.0,l,PLN,,[]
ME-10172,Koncowki filtrowe 10ul,MedioScience,Laboratory Plasticware,50 l,1919,,50.0,l,PLN,,[]
ME-10180,Plytki PCR 96-dolkowe,MedioScience,Laboratory Plasticware,1 kg,1183.00,"przechowywanie 4C, chronic przed swiatlem",1.0,kg,PLN,,[]
ME-10186,Probowki wirowkowe 15ml,MedioScience,Laboratory Plasticware,1 -,3687.00,wymaga suchego lodu przy transporcie,1.0,,PLN,,[]
ME-10193,Probowki wirowkowe 50ml,MedioScience,Laboratory Plasticware,100 szt,3589.00,wymaga suchego lodu przy transporcie,100.0,pcs,PLN,,[]
ME-10201,Koncowki do pipet 1000ul,MedioScience,Laboratory Plasticware,50 szt,496,przechowywanie -20C,50.0,pcs,PLN,,[]
ME-10209,Termocykler PCR,MedioScience,,5 -,3012,wymaga suchego lodu przy transporcie,5.0,,PLN,,[]
ME-10218,Pipeta automatyczna 100-1000ul,MedioScience,Measuring Equipment,10 szt,656,przechowywanie -20C,10.0,pcs,PLN,,[]
ME-10225,Waga analityczna,MedioScience,Measuring Equipment,50 op,2686,termin waznosci 12 mies. od daty produkcji,50.0,package,PLN,,[]
ME-10237,Spektrofotometr NanoDrop,MedioScience,Measuring Equipment,50 l,3163,"przechowywanie 4C, chronic przed swiatlem",50.0,l,PLN,,[]
ME-10245,Wirowka laboratoryjna,MedioScience,Measuring Equipment,1 kg,4020,przechowywanie -20C,1.0,kg,PLN,,[]
ME-10252,Czytnik plytek ELISA,MedioScience,Measuring Equipment,100 ml,3075,,100.0,ml,PLN,,[]
ME-10262,pH-metr stolowy,MedioScience,,1 op,3677.00,temp. pokojowa,1.0,package,PLN,,[]
ME-10269,Termostat blokowy,MedioScience,Measuring Equipment,1 ml,1674,temp. pokojowa,1.0,ml,PLN,,[]
ME-10280,Vortex laboratoryjny,MedioScience,Measuring Equipment,25 -,757,"przechowywanie 4C, chronic przed swiatlem",25.0,,PLN,,[]
ME-10289,Etanol absolutny cz.d.a.,MedioScience,Laboratory Chemicals,100 szt,2156,temp. pokojowa,100.0,pcs,PLN,,[]
ME-10297,Chloroform cz.d.a.,MedioScience,Laboratory Chemicals,50 g,2122,temp. pokojowa,50.0,g,PLN,,[]
ME-10306,Bufor TE 1x,MedioScience,Laboratory Chemicals,50 g,1295.00,wymaga suchego lodu przy transporcie,50.0,g,PLN,,[]
ME-10315,Woda wolna od nukleaz,MedioScience,Laboratory Chemicals,50 g,3915.00,termin waznosci 12 mies. od daty produkcji,50.0,g,PLN,,[]
ME-10322,Izopropanol cz.d.a.,MedioScience,Laboratory Chemicals,50 op,1274,przechowywanie -20C,50.0,package,PLN,,[]
ME-10329,Bufor TBE 10x,MedioScience,Laboratory Chemicals,100 -,2521,temp. pokojowa,100.0,,PLN,,[]
ME-10338,SDS 10% roztwor,MedioScience,Laboratory Chemicals,100 kg,1118.00,wymaga suchego lodu przy transporcie,100.0,kg,PLN,,[]
ME-10349,Agaroza do elektroforezy,MedioScience,Laboratory Chemicals,50 g,2674,termin waznosci 12 mies. od daty produkcji,50.0,g,PLN,,[]
ME-10356,Bufor PBS 1x,MedioScience,Laboratory Chemicals,100 g,278,,100.0,g,PLN,,[]
NO-10001,Zestaw do izolacji DNA z tkanek,NovaGen Labs,Nucleic Acid Isolation,50szt,862,przechowywanie -20C,50.0,pcs,PLN,,[]
NO-10009,Kit do izolacji RNA z krwi,NovaGen Labs,Nucleic Acid Isolation,50,1482,termin waznosci 12 mies. od daty produkcji,50.0,,PLN,Zestaw do szybkiej izolacji całkowitego RNA z pełnej krwi i leukocytów. Kompatybilny z downstream RT-PCR i qPCR. Wydajność do 5 µg RNA z 200 µl krwi.,"['Przechowywanie: 4°C', 'Zastosowania: diagnostyka molekularna, badania ekspresji genów']"
NO-10018,Zestaw do izolacji DNA genomowego,NovaGen Labs,Nucleic Acid Isolation,x50,3302,,50.0,pcs,PLN,,[]
NO-10024,Kolumny do izolacji plazmidowego DNA,NovaGen Labs,,50 reactions,4131,termin waznosci 12 mies. od daty produkcji,50.0,pcs,PLN,"Kolumny membranowe do oczyszczania plazmidowego DNA z hodowli bakteryjnych, skala midi. Wysoka czystość, nadaje się do sekwencjonowania i transfekcji.",['Przechowywanie: temp. pokojowa']
NO-10031,Zestaw do oczyszczania RNA z komorek,NovaGen Labs,,50szt,1233,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
NO-10039,Kit izolacji DNA z probek FFPE,NovaGen Labs,Nucleic Acid Isolation,50-pack,2322.00,"przechowywanie 4C, chronic przed swiatlem",50.0,package,PLN,,[]
NO-10048,Zestaw do izolacji mikroRNA,NovaGen Labs,Nucleic Acid Isolation,50 test.,744,,50.0,pcs,PLN,"Selektywna izolacja frakcji mikroRNA (<200 nt) z tkanek i linii komórkowych, oddzielnie od pozostałego RNA.","['Zastosowania: badania nad regulacją ekspresji genów, onkologia']"
NO-10059,Zestaw do izolacji RNA wirusowego,NovaGen Labs,Nucleic Acid Isolation,50 szt.,1732,temp. pokojowa,50.0,pcs,PLN,,[]
NO-10064,Mix do PCR 2x,NovaGen Labs,,x50,3255.00,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,"Uniwersalny mix 2x do standardowych reakcji PCR — polimeraza, bufor, dNTP w jednej fiolce. Nie wymaga dodatkowego MgCl2.","['Zastosowania: genotypowanie, screening kolonii']"
NO-10073,Polimeraza Taq,NovaGen Labs,PCR reagents,50,2191,"przechowywanie 4C, chronic przed swiatlem",50.0,,PLN,,[]
NO-10082,Zestaw do qPCR z sonda TaqMan,NovaGen Labs,PCR reagents,50 rxn,198.00,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
NO-10091,Master Mix do RT-PCR,NovaGen Labs,PCR reagents,50 rxn,1783,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,Gotowy mix odwrotnej transkryptazy i polimerazy do reakcji jednoetapowej RT-PCR. Zoptymalizowany pod matryce o niskiej ilości RNA wejściowego.,"['Przechowywanie: -20°C, unikać wielokrotnego rozmrażania', 'Zastosowania: diagnostyka wirusowa, badania kliniczne']"
NO-10098,Bufor PCR 10x,NovaGen Labs,PCR reagents,50-pack,3916,termin waznosci 12 mies. od daty produkcji,50.0,package,PLN,,[]
NO-10105,dNTP Mix 10mM,NovaGen Labs,PCR reagents,50 test.,2966.00,temp. pokojowa,50.0,pcs,PLN,,[]
NO-10110,Startery losowe do RT,NovaGen Labs,PCR reagents,50,1084,,50.0,,PLN,"Mieszanina heksamerów losowych do inicjacji odwrotnej transkrypcji, niezależnie od sekwencji matrycy.",[]
NO-10120,Odczynnik SYBR Green,NovaGen Labs,,50szt,1770,termin waznosci 12 mies. od daty produkcji,50.0,pcs,PLN,Barwnik interkalujący do detekcji produktu w reakcjach qPCR w czasie rzeczywistym. Kompatybilny z większością termocyklerów.,"['Przechowywanie: -20°C, chronić przed światłem', 'Zastosowania: qPCR, analiza krzywej topnienia']"
NO-10128,Zestaw do multiplex PCR,NovaGen Labs,PCR reagents,50 test.,3522,,50.0,pcs,PLN,,[]
NO-10135,Probowki PCR 0.2ml,NovaGen Labs,Laboratory Plasticware,25 szt,3292,przechowywanie -20C,25.0,pcs,PLN,,[]
NO-10144,Koncowki do pipet 200ul,NovaGen Labs,Laboratory Plasticware,25 -,3406.00,termin waznosci 12 mies. od daty produkcji,25.0,,PLN,,[]
NO-10153,Plytki 96-dolkowe,NovaGen Labs,Laboratory Plasticware,25 kg,3768.00,termin waznosci 12 mies. od daty produkcji,25.0,kg,PLN,,[]
NO-10158,Probowki Eppendorf 1.5ml,NovaGen Labs,Laboratory Plasticware,1 kg,3553,,1.0,kg,PLN,,[]
NO-10166,Koncowki filtrowe 10ul,NovaGen Labs,Laboratory Plasticware,25 ml,3333,temp. pokojowa,25.0,ml,PLN,,[]
NO-10173,Plytki PCR 96-dolkowe,NovaGen Labs,Laboratory Plasticware,50 kg,1579,temp. pokojowa,50.0,kg,PLN,,[]
NO-10189,Probowki wirowkowe 50ml,NovaGen Labs,,50 kg,1151,temp. pokojowa,50.0,kg,PLN,,[]
NO-10194,Koncowki do pipet 1000ul,NovaGen Labs,,50 ml,580,temp. pokojowa,50.0,ml,PLN,,[]
NO-10202,Termocykler PCR,NovaGen Labs,Measuring Equipment,50 g,1093,przechowywanie -20C,50.0,g,PLN,,[]
NO-10210,Pipeta automatyczna 100-1000ul,NovaGen Labs,,5 -,3950,termin waznosci 12 mies. od daty produkcji,5.0,,PLN,,[]
NO-10219,Waga analityczna,NovaGen Labs,Measuring Equipment,50 op,3736,,50.0,package,PLN,,[]
NO-10228,Spektrofotometr NanoDrop,NovaGen Labs,Measuring Equipment,100 op,3114.00,temp. pokojowa,100.0,package,PLN,,[]
NO-10239,Wirowka laboratoryjna,NovaGen Labs,,50 g,1477,termin waznosci 12 mies. od daty produkcji,50.0,g,PLN,,[]
NO-10246,Czytnik plytek ELISA,NovaGen Labs,Measuring Equipment,50 op,3617,temp. pokojowa,50.0,package,PLN,"Czytnik absorbancji do płytek 96-dołkowych, zakres 340-750 nm. Sterowanie przez oprogramowanie dołączone na USB.","['Zastosowania: immunodiagnostyka, testy ELISA']"
NO-10253,pH-metr stolowy,NovaGen Labs,Measuring Equipment,1 kg,1584,wymaga suchego lodu przy transporcie,1.0,kg,PLN,,[]
NO-10263,Termostat blokowy,NovaGen Labs,Measuring Equipment,10 g,3029,przechowywanie -20C,10.0,g,PLN,,[]
NO-10271,Vortex laboratoryjny,NovaGen Labs,Measuring Equipment,50 kg,4173,"przechowywanie 4C, chronic przed swiatlem",50.0,kg,PLN,,[]
NO-10281,Etanol absolutny cz.d.a.,NovaGen Labs,Laboratory Chemicals,50 op,1640,,50.0,package,PLN,,[]
NO-10290,Chloroform cz.d.a.,NovaGen Labs,Laboratory Chemicals,25 g,3954,temp. pokojowa,25.0,g,PLN,,[]
NO-10299,Bufor TE 1x,NovaGen Labs,Laboratory Chemicals,50 ml,1247.00,"przechowywanie 4C, chronic przed swiatlem",50.0,ml,PLN,,[]
NO-10309,Woda wolna od nukleaz,NovaGen Labs,Laboratory Chemicals,50 kg,2605,przechowywanie -20C,50.0,kg,PLN,,[]
NO-10316,Izopropanol cz.d.a.,NovaGen Labs,,25 l,2595.00,temp. pokojowa,25.0,l,PLN,"Alkohol izopropylowy czystości analitycznej, do zastosowań laboratoryjnych i precypitacji kwasów nukleinowych.",[]
NO-10325,Bufor TBE 10x,NovaGen Labs,Laboratory Chemicals,100 l,2855,przechowywanie -20C,100.0,l,PLN,,[]
NO-10332,SDS 10% roztwor,NovaGen Labs,,25 l,4280,temp. pokojowa,25.0,l,PLN,,[]
NO-10341,Agaroza do elektroforezy,NovaGen Labs,Laboratory Chemicals,100 ml,3160,"przechowywanie 4C, chronic przed swiatlem",100.0,ml,PLN,,[]
NO-10350,Bufor PBS 1x,NovaGen Labs,Laboratory Chemicals,25 kg,672,temp. pokojowa,25.0,kg,PLN,,[]
PO-10004,Zestaw do izolacji DNA z tkanek,PolyLab Systems,Nucleic Acid Isolation,50 szt.,505,,50.0,pcs,PLN,,[]
PO-10014,Kit do izolacji RNA z krwi,PolyLab Systems,Nucleic Acid Isolation,50szt,3908.00,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
PO-10022,Zestaw do izolacji DNA genomowego,PolyLab Systems,,x50,1021,wymaga suchego lodu przy transporcie,50.0,pcs,PLN,,[]
PO-10029,Kolumny do izolacji plazmidowego DNA,PolyLab Systems,,50,1990.00,przechowywanie -20C,50.0,,PLN,,[]
PO-10035,Zestaw do oczyszczania RNA z komorek,PolyLab Systems,Nucleic Acid Isolation,x50,767,,50.0,pcs,PLN,,[]
PO-10044,Kit izolacji DNA z probek FFPE,PolyLab Systems,Nucleic Acid Isolation,50-pack,821,termin waznosci 12 mies. od daty produkcji,50.0,package,PLN,,[]
PO-10051,Zestaw do izolacji mikroRNA,PolyLab Systems,Nucleic Acid Isolation,50 szt.,2312,temp. pokojowa,50.0,pcs,PLN,,[]
PO-10056,Kit do izolacji DNA z gleby,PolyLab Systems,Nucleic Acid Isolation,50-pack,1600,przechowywanie -20C,50.0,package,PLN,,[]
PO-10062,Zestaw do izolacji RNA wirusowego,PolyLab Systems,Nucleic Acid Isolation,50 rxn,4409.00,"przechowywanie 4C, chronic przed swiatlem",50.0,pcs,PLN,,[]
